# Generated from Yale Bright Star Catalog / NASA HEASARC BSC5. Columns: hr,ra_hours,dec_deg,visual_magnitude
1203,3.902194444,31.883611111,2.85
5897,15.919027778,-63.430555556,2.85
6461,17.421666667,-55.530000000,2.85
591,1.979500000,-61.569722222,2.86
8502,22.308361111,-60.259722222,2.86
1165,3.791416667,24.105000000,2.87
7528,19.749583333,45.130833333,2.87
8322,21.784000000,-16.127222222,2.87
2286,6.382666667,22.513611111,2.88
2890,7.576666667,31.888611111,2.88
1220,3.964222222,40.010277778,2.89
5671,15.315166667,-68.679444444,2.89
5944,15.980861111,-26.114166667,2.89
6084,16.353138889,-25.592777778,2.89
7264,19.162722222,-21.023611111,2.89
2845,7.452500000,8.289444444,2.90
4915,12.933805556,38.318333333,2.90
8232,21.525972222,-5.571111111,2.91
915,3.079944444,53.506388889,2.93
2553,6.832277778,-50.614722222,2.93
8650,22.716694444,30.221388889,2.94
1231,3.967166667,-13.508611111,2.95
4757,12.497750000,-16.515555556,2.95
6510,17.530694444,-49.876111111,2.95
8414,22.096388889,-0.319722222,2.96
2473,6.732194444,25.131111111,2.98
3873,9.764194444,23.774166667,2.98
1605,5.032805556,43.823333333,2.99
6746,18.096805556,-30.424166667,2.99
7235,19.090166667,13.863333333,2.99
622,2.159055556,34.987222222,3.00
1910,5.627416667,21.142500000,3.00
4630,12.168750000,-22.619722222,3.00
5020,13.315361111,-23.171666667,3.00
1122,3.715416667,47.787500000,3.01
3890,9.785027778,-65.071944444,3.01
4335,11.161055556,44.498611111,3.01
8353,21.898805556,-37.365000000,3.01
2282,6.338555556,-30.063333333,3.02
2653,7.050416667,-23.833333333,3.02
5435,14.534638889,38.308333333,3.03
6615,17.793083333,-40.126944444,3.03
681,2.322416667,-2.977500000,3.04
5193,13.826944444,-42.473888889,3.04
4069,10.372138889,41.499444444,3.05
4844,12.771361111,-68.108055556,3.05
5735,15.345472222,71.833888889,3.05
7310,19.209250000,67.661666667,3.07
6247,16.864500000,-38.047500000,3.08
7417,19.512027778,27.959722222,3.08
7776,20.350194444,-14.781388889,3.08
3547,8.923222222,5.945555556,3.11
4232,10.827083333,-16.193611111,3.11
6832,18.293777778,-36.761666667,3.11
7869,20.626111111,-47.291388889,3.11
2040,5.849333333,-35.768333333,3.12
3705,9.350916667,34.392500000,3.13
3803,9.520361111,-57.034444444,3.13
4467,11.596333333,-63.019722222,3.13
5576,14.986027778,-42.104166667,3.13
6285,16.977000000,-55.990277778,3.13
3569,8.986777778,48.041666667,3.14
6410,17.250527778,24.839166667,3.14
6418,17.250777778,36.809166667,3.16
1641,5.108583333,41.234444444,3.17
2451,6.629361111,-43.196111111,3.17
3775,9.547611111,51.677222222,3.17
6396,17.146444444,65.714722222,3.17
7039,18.760944444,-26.990833333,3.17
1543,4.830666667,6.961388889,3.19
1654,5.091027778,-22.371111111,3.19
5463,14.708444444,-64.975277778,3.19
6299,16.961138889,9.375000000,3.20
8115,21.215611111,30.226944444,3.20
6630,17.830972222,-37.043333333,3.21
8974,23.655777778,77.632500000,3.21
5695,15.356194444,-40.647500000,3.22
7710,20.188416667,-0.821388889,3.23
8238,21.477666667,70.560833333,3.23
897,2.971027778,-40.304722222,3.24
1208,3.787305556,-74.238888889,3.24
6075,16.305361111,-4.692500000,3.24
7178,18.982388889,32.689444444,3.24
2878,7.487166667,-43.301388889,3.25
6869,18.355166667,-2.898888889,3.26
165,0.655472222,30.860833333,3.27
1465,4.566611111,-55.045000000,3.27
2550,6.803166667,-61.941388889,3.27
5287,14.106194444,-26.682500000,3.27
6453,17.366833333,-24.999444444,3.27
8709,22.910833333,-15.820833333,3.27
2216,6.247944444,22.506666667,3.28
5603,15.067833333,-25.281944444,3.29
5744,15.415500000,58.966111111,3.29
322,1.101388889,-46.718611111,3.31
1702,5.215527778,-16.205555556,3.31
4660,12.257111111,57.032500000,3.31
4037,10.228944444,-70.038055556,3.32
4140,10.533722222,-61.685277778,3.32
7234,19.115666667,-27.670555556,3.32
6380,17.202555556,-43.239166667,3.33
3045,7.821583333,-24.859722222,3.34
4359,11.237333333,15.429444444,3.34
6462,17.423222222,-56.377500000,3.34
6698,17.983777778,-9.773611111,3.34
1336,4.240416667,-62.473888889,3.35
8465,22.180916667,58.201111111,3.35
1788,5.407944444,-2.396944444,3.36
2484,6.754833333,12.895555556,3.36
3323,8.504416667,60.718055556,3.36
7377,19.424972222,3.114722222,3.36
5107,13.578222222,-0.595833333,3.37
5708,15.378027778,-44.689444444,3.37
542,1.906583333,63.670000000,3.38
3482,8.779611111,6.418888889,3.38
4910,12.926722222,3.397500000,3.38
921,3.086277778,38.840277778,3.39
1412,4.477694444,15.870833333,3.40
4050,10.284722222,-61.332222222,3.40
8634,22.691027778,10.831388889,3.40
429,1.472750000,-43.318333333,3.41
544,1.884694444,29.578888889,3.41
5190,13.825083333,-41.687777778,3.41
5649,15.204750000,-52.099166667,3.41
5948,16.002027778,-38.396944444,3.41
6623,17.774305556,27.720555556,3.42
7913,20.749305556,-66.203055556,3.42
7957,20.754833333,61.838888889,3.43
219,0.818333333,57.815833333,3.44
3659,9.182777778,-58.966944444,3.44
4031,10.278166667,23.417222222,3.44
7236,19.104138889,-4.882500000,3.44
334,1.143166667,-10.182222222,3.45
4033,10.284944444,42.914444444,3.45
7106,18.834666667,33.362777778,3.45
804,2.721666667,3.235833333,3.47
1239,4.011333333,12.490277778,3.47
2646,7.028638889,-27.934722222,3.47
3117,7.946305556,-52.982222222,3.47
5681,15.258388889,33.314722222,3.47
7635,19.979277778,19.492222222,3.47
4377,11.307972222,33.094166667,3.48
6406,17.244138889,14.390277778,3.48
8684,22.833388889,24.601666667,3.48
8675,22.809250000,-51.316944444,3.49
509,1.734472222,-15.937500000,3.50
5602,15.032444444,40.390555556,3.50
6897,18.449555556,-45.968333333,3.51
7150,18.962166667,-21.106666667,3.51
3249,8.275250000,9.185555556,3.52
3852,9.685833333,9.892222222,3.52
3975,10.122222222,16.762777778,3.52
8694,22.828000000,66.200555556,3.52
1409,4.476944444,19.180277778,3.53
2777,7.335388889,21.982222222,3.53
5881,15.827000000,-3.430277778,3.53
6220,16.714944444,38.922222222,3.53
8450,22.170000000,6.197777778,3.53
1136,3.720805556,-9.763333333,3.54
1879,5.585638889,9.934166667,3.54
3940,9.947722222,-54.567777778,3.54
4450,11.550027778,-31.857777778,3.54
6561,17.626444444,-15.398611111,3.54
1998,5.782583333,-14.821944444,3.55
5354,14.323388889,-46.057777778,3.55
74,0.323805556,-8.823888889,3.56
674,2.275166667,-51.512222222,3.56
1347,4.298250000,-33.798333333,3.56
4382,11.322361111,-14.778611111,3.56
5705,15.363444444,-36.261388889,3.56
7665,20.145444444,-66.181944444,3.56
464,1.633222222,48.628333333,3.57
2985,7.740777778,24.398055556,3.57
6252,16.872250000,-38.017500000,3.57
6927,18.350944444,72.732777778,3.57
7754,20.300916667,-12.544722222,3.57
2763,7.301555556,16.540277778,3.58
5429,14.530500000,30.371388889,3.58
5794,15.617083333,-28.135000000,3.58
4700,12.356000000,-60.401111111,3.59
402,1.400388889,-8.183333333,3.60
1030,3.413555556,9.028888889,3.60
1735,5.293444444,-6.844444444,3.60
1983,5.741055556,-22.448333333,3.60
2540,6.879805556,33.961111111,3.60
3594,9.060416667,47.156666667,3.60
3786,9.511666667,-40.466666667,3.60
3017,7.754250000,-37.968611111,3.61
3994,10.176472222,-12.354166667,3.61
4540,11.844916667,1.764722222,3.61
437,1.524722222,15.345833333,3.62
3447,8.671555556,-52.921944444,3.62
4923,13.037833333,-71.548888889,3.62
6271,16.909722222,-42.361388889,3.62
6500,17.518305556,-60.683888889,3.62
6582,17.762222222,-64.723888889,3.62
8762,23.032027778,42.326111111,3.62
838,2.833055556,27.260555556,3.63
1178,3.819361111,24.053333333,3.63
7882,20.625833333,14.595277778,3.63
4520,11.760111111,-66.728611111,3.64
1346,4.329888889,15.627500000,3.65
4825,12.694333333,-1.449444444,3.65
5291,14.073138889,64.375833333,3.65
7986,20.913500000,-58.454166667,3.65
153,0.616194444,53.896944444,3.66
5812,15.644277778,-29.777777778,3.66
6743,18.110527778,-50.091666667,3.66
8812,23.157444444,-21.172500000,3.66
3757,9.525472222,63.061944444,3.67
5867,15.769805556,15.421944444,3.67
3468,8.726527778,-33.186388889,3.68
4826,12.694333333,-1.449444444,3.68
5747,15.463805556,29.105833333,3.68
8278,21.668194444,-16.662222222,3.68
1003,3.325277778,-21.757777778,3.69
1552,4.853444444,5.605000000,3.69
3884,9.754111111,-62.507777778,3.69
8852,23.286083333,3.282222222,3.69
566,1.932638889,-51.608888889,3.70
1142,3.747916667,24.113333333,3.70
6703,17.962750000,29.247777778,3.70
2085,5.940083333,-14.167777778,3.71
4518,11.767500000,47.779444444,3.71
5892,15.846944444,4.477777778,3.71
7602,19.921888889,6.406666667,3.71
1567,4.904194444,2.440555556,3.72
2077,5.992111111,54.284722222,3.72
5511,14.770805556,1.892777778,3.72
8079,21.082194444,43.927777778,3.72
8130,21.246527778,38.045555556,3.72
539,1.857666667,-10.335000000,3.73
1084,3.548833333,-9.458333333,3.73
3080,7.870277778,-40.575833333,3.73
6771,18.122500000,9.563888889,3.73
1038,3.452833333,9.732777778,3.74
8204,21.444444444,-22.411388889,3.74
8698,22.876916667,-7.579722222,3.74
1612,5.041305556,41.075833333,3.75
3614,9.069250000,-47.097777778,3.75
6095,16.365333333,19.153055556,3.75
6629,17.798222222,2.707222222,3.75
6688,17.892138889,56.872777778,3.75
8571,22.486194444,58.415277778,3.75
834,2.844944444,55.895555556,3.76
1373,4.382250000,17.542500000,3.76
1922,5.560416667,-62.489722222,3.76
6229,16.829750000,-59.041388889,3.76
8254,21.691250000,-77.390000000,3.76
8430,22.116861111,25.345000000,3.76
1135,3.753222222,42.578611111,3.77
3347,8.428944444,-66.136944444,3.77
7217,19.078055556,-21.741666667,3.77
7328,19.285055556,53.368611111,3.77
7906,20.660638889,15.911944444,3.77
7950,20.794611111,-9.495833333,3.77
8585,22.521527778,50.282500000,3.77
